"UC Berkeley (Primary)",https://brand.berkeley.edu/identity-and-visual-design/color, #003262, #FDB515, #3B7EA1, #C4820E
"UC Berkeley (Neutrals)",https://brand.berkeley.edu/identity-and-visual-design/color, #D9661F, #DDD5C7, #B9D3B6
"UC Berkeley (Vibrants)",https://brand.berkeley.edu/identity-and-visual-design/color, #EE1F60, #00B0DA, #CFDD45
"UC Berkeley (Brights)",https://brand.berkeley.edu/identity-and-visual-design/color, #ED4E33, #00A598, #859438
"UC Berkeley (Darks)",https://brand.berkeley.edu/identity-and-visual-design/color, #6C3302, #46535E, #584F29
"UCLA (Primary)",https://brand.ucla.edu/identity/colors, #2774AE, #FFD100, #FFFFFF
"UCLA (Blues and Golds)",https://brand.ucla.edu/identity/colors, #003B5C, #005587, #8BB8E8, #DAEBFE, #FFC72C, #FFB81C
"UCLA (Tertiary)",https://brand.ucla.edu/identity/colors, #FFFF00, #00FF87, #FF00A5, #00FFFF, #8237FF, #000000
"UCSF (Neutrals)",https://identity.ucsf.edu/brand-guide/color, #052049, #506380, #878D96, #B4B9BF, #D1D3D3, #E1E3E5, #F2F3F4, #FFFFFF, #000000
"UCSF (Primary 1)",https://identity.ucsf.edu/brand-guide/color, #052049, #0E5258, #00483A, #2E2872, #461850, #561038
"UCSF (Primary 2)",https://identity.ucsf.edu/brand-guide/color, #0F388A, #14828C, #007242, #443E8C, #6C247C, #821A56
"UCSF (Primary 3)",https://identity.ucsf.edu/brand-guide/color, #178CCB, #16A0AC, #32A03E, #6C62D0, #A238BA, #C42882
"UCSF (Primary 4)",https://identity.ucsf.edu/brand-guide/color, #B8E6FA, #60D0DA, #84C234, #8A8CE3, #C45ED8, #E266AE
"UCSF (Primary 5)",https://identity.ucsf.edu/brand-guide/color, #E2F4FC, #B4E2E8, #B4DC55, #C0C0EA, #EACCF0, #F2C2DE
"UCSF (Call to Action)",https://identity.ucsf.edu/brand-guide/color, #006BE9, #FEB80A, #FA6E1E, #E61048
"CDPH", https://www.cdph.ca.gov/Style%20Library/CDPH/images/CDPH-Logo.png, #0e7ac0, #ec6f24, #5c873b, #6e267b, #ffffff, #000000
